player_name,team_name,pass_danger_prob,dist,angle,forward
Sabin Merino Zuloaga,Athletic Club,0.01336075535660842,40.777076893764715,128.52814449615803,0
Darron Gibson,Everton,0.008819137141815831,10.840664186294122,127.50414236027015,0
Lee Cattermole,Sunderland,0.049898873743225575,13.703284277865649,-91.25445162268159,0
Danny Drinkwater,Leicester City,0.11390884258689164,11.480853626799709,-52.43140797117251,1
Matthew Pennington,Everton,0.01633263616052197,27.044038160008576,32.92616906504979,1
Leighton Baines,Everton,0.12463199192415907,7.1063352017759485,140.71059313749964,0
Robert Brady,Norwich City,0.16831280684075842,32.088003989029914,106.28877403005946,0
José Andrés Guardado Hernández,Real Betis,0.008536693691411081,16.1245154965971,-119.74488129694222,0
Gerard Deulofeu Lázaro,Barcelona,0.09631223295431343,9.055385138137417,-173.6598082540901,0
Cameron Brannagan,Liverpool,0.00895903172652668,28.27030243913213,113.11875436534571,0
Kevin Wimmer,Tottenham Hotspur,0.009914955249325336,15.282015573869831,33.79405249259743,1
Gerard Piqué Bernabéu,Barcelona,0.0047009145714982424,29.99616642172796,-85.41084657788639,1
Ryan Shawcross,Stoke City,0.008606732262587572,19.840614909825753,-76.59412475886343,1
Glenn Murray,AFC Bournemouth,0.0485224521420874,10.316006979447042,-73.67314648943504,1
Roberto Firmino Barbosa de Oliveira,Liverpool,0.05179785818784255,14.577379737113251,-95.9061411137705,0
Cheick Doukouré,Levante UD,0.005871882778572972,19.856736892047497,-4.332313983188515,1
Sergio Busquets i Burgos,Barcelona,0.008765220235426452,10.63296760081587,148.85141901380499,0
Adam Smith,AFC Bournemouth,0.003117506967859976,8.57263086805912,73.04468694797481,1
Scott Sinclair,Aston Villa,0.020207571513773243,9.876234100101112,74.13429219722616,1
Clément Lenglet,Sevilla,0.02688062454067688,16.282505949638097,27.824096384253266,1
Nélson Cabral Semedo,Barcelona,0.2102023892436525,23.021728866442675,2.489552921999156,1
Jordi Alba Ramos,Barcelona,0.13506337454445466,20.370812453115366,111.90586840345588,0
Nélson Cabral Semedo,Barcelona,0.054969577777156685,7.694153624668533,-8.97262661489642,1
Scott Dann,Crystal Palace,0.002448311885499895,18.436105879496353,-148.98294508375304,0
Nélson Cabral Semedo,Barcelona,0.002204694787892129,10.922453936730516,49.45560283332631,1
Anaitz Arbilla Zabala,Eibar,0.018161116212905365,24.822973230457308,56.501984646970904,1
Romelu Lukaku Menama,Everton,0.0064732794611032035,13.039171752837676,8.378672506215569,1
Andre Green,Aston Villa,0.015604761213107426,7.596051605933173,-159.17910714668915,0
José Ramiro Funes Mori,Everton,0.011566052303220775,41.05045675750758,80.6065152993172,1
Craig Gardner,West Bromwich Albion,0.1101346149764219,14.042791745233561,26.200114841347368,1
Ivan Rakitić,Barcelona,0.01249338983394587,8.06225774829855,-60.25511870305778,1
Enric Saborit Teixidor,Athletic Club,0.06282126311266985,10.248902380255167,-107.02052561151986,0
Carlos Soler Barragán,Valencia,0.012128823253187825,21.973848092675986,-175.30131948270053,0
Yann Gérard M''Vila,Sunderland,0.07121994851517303,24.960969532452065,-8.292412910092668,1
Bamidele Alli,Tottenham Hotspur,0.15370570110940693,13.472935834479424,-95.96448710125316,0
Ousmane Dembélé,Barcelona,0.061812639141314914,22.437914341578182,29.649863507575567,1
Robert Brady,Norwich City,0.03315211521170582,51.47776218912395,-21.18134950026624,1
Zouhair Feddal,Real Betis,0.016208461602475244,33.83784863137726,55.84030545433057,1
Joel Robles Blázquez,Everton,0.004441437380930466,17.99694418505542,-13.495733280795822,1
Adam Johnson,Sunderland,0.021367743184641953,18.79707424042369,-104.47981483436064,0
Kevin De Bruyne,Manchester City,0.283373751564254,19.82952344359289,10.45990909292913,1
Philippe Coutinho Correia,Barcelona,0.05865215787959744,26.199999999999996,90.0,0
Carlos Henrique Casimiro,Real Madrid,0.015820106906393946,13.897481786280563,57.33908727832619,1
Marc-André ter Stegen,Barcelona,0.0028184801209264827,7.353910524340097,22.380135051959602,1
Sergi Roberto Carnicer,Barcelona,0.061982988184497996,26.363800939925184,-103.82540438459593,0
Luka Modrić,Real Madrid,0.006189397183358638,8.757282683572573,96.5569464981634,0
Harry Kane,Tottenham Hotspur,0.05904343208371107,9.37443331620637,33.69006752597979,1
Carles Gil de Pareja Vicent,Aston Villa,0.03320259255858055,30.608005488760618,67.12094505542531,1
Adam Smith,AFC Bournemouth,0.003359188022453555,8.091971329657564,-39.98688624496421,1
Kevin De Bruyne,Manchester City,0.07595785131995952,6.972087205421335,8.24632081446854,1
Gerard Piqué Bernabéu,Barcelona,0.03695484372031419,41.717142759302206,14.435974978975203,1
Sebastián Coates Nión,Sunderland,0.0175744636413002,45.61852693807637,1.6329900022729331,1
Erik Pieters,Stoke City,0.08571728078345879,18.155439956112325,70.36740446246961,1
Andrés Iniesta Luján,Barcelona,0.032163815922485336,11.94194289050153,117.4233507071095,0
Danny Drinkwater,Leicester City,0.05256622738091508,46.988615642514944,-6.353657263761425,1
Mousa Sidi Yaya Dembélé,Tottenham Hotspur,0.02916471252937941,11.216059914247966,93.06648550112587,0
Óscar de Marcos Arana,Athletic Club,0.12690329310803067,6.313477647065843,-119.40718906073371,0
Marc-André ter Stegen,Barcelona,0.002553262210252317,21.576144233852347,65.92966027371905,1
Tom Carroll,Tottenham Hotspur,0.07416453281856898,10.012991560967173,-171.38435181583588,0
Ivan Rakitić,Barcelona,0.0293534766320133,6.0,0.0,1
Luis Alberto Suárez Díaz,Barcelona,0.1704292434521467,13.461797799699715,-103.31363231214344,0
Abdul Rahman Baba,Chelsea,0.03851717559807962,48.46648326421054,-15.068488159492205,1
Thomas Vermaelen,Barcelona,0.003092941032165792,21.93171219946131,133.1523897340054,0
Joaquín Navarro Jiménez,Las Palmas,0.01102250680808905,7.40945342113708,-58.240519915187214,1
Xherdan Shaqiri,Stoke City,0.055157028902936105,14.512063946937394,172.8749836510982,0
Marco Asensio Willemsen,Real Madrid,0.09840871016183954,10.2357217625334,165.2849283494022,0
Gerard Deulofeu Lázaro,Barcelona,0.03798322546013836,14.560219778561036,164.05460409907712,0
Russell Martin,Norwich City,0.07584436710603504,12.342204017111364,33.432560138400895,1
Joaquín Navarro Jiménez,Las Palmas,0.010933290340231142,12.304470732217617,44.341456822436406,1
Eric Dier,Tottenham Hotspur,0.02056854748649669,66.15935308027127,62.15675609072275,1
Mark Bunn,Aston Villa,0.010292425110560126,63.58144383387342,-11.062512385446373,1
Willian Borges da Silva,Chelsea,0.11761127839832272,23.354014644167716,50.0373685020315,1
