player_name,passes,pass_danger
Ander Capa Rodríguez,17,0.06927236646908273
Guido Hernán Pizarro,18,0.068976908839903
Papa Kouly Diop,61,0.06869978738182804
Gareth Frank Bale,43,0.06858911318440203
Aly Cissokho,97,0.06826634180292515
Toni Kroos,132,0.0680129428883431
Patrick Bamford,24,0.0680052665920074
Danny Drinkwater,77,0.06769820469187941
Sergio Escudero Palomo,51,0.06764541612156201
Nathaniel Edwin Clyne,58,0.06763733115809176
Dame N''Doye,36,0.06727432417609898
Iago Aspas Juncal,43,0.06719240448804474
Pedro Taunausú Domínguez Placeres,78,0.06702246284673649
Emmanuel Okyere Boateng,15,0.06685255251885658
Denis Cheryshev,14,0.06674762898134043
Matías Nahuel Leiva Esquivel,30,0.06582287905704595
Miguel Ángel Guerrero Martín,7,0.06573917655320888
Roberto Firmino Barbosa de Oliveira,34,0.06512749938582796
Francis Joseph Coquelin,72,0.06481340914311903
Sergio León Limones,18,0.0647464304439405
Scott Sinclair,37,0.06443693038954294
Joaquín Sánchez Rodríguez,81,0.06431174660971584
Rudy Gestede,39,0.06421339771497103
Luka Modrić,135,0.06420869114949328
Andrew Philip King,11,0.06387535215777292
Francisco Alcácer García,70,0.06362829092570237
Marc Navarro Ceciliano,47,0.06329597857526101
Sergi Roberto Carnicer,968,0.06236982848200727
Dídac Vilá Rosselló,3,0.06178670090591378
Rubén Peña Jiménez,61,0.06166053778312724
DeAndre Yedlin,105,0.06137182609964602
Riza Durmisi,52,0.06122120745354842
Jordan Lyden,40,0.061073379965058426
Jordi Alba Ramos,1174,0.06098682530657458
Idrissa Gana Gueye,166,0.060905176017092486
Joseba Zaldúa Bengoetxea,39,0.060733521951543065
Beñat Etxebarria Urkiaga,32,0.06068782841933058
Steven Fletcher,15,0.06066964311383995
Yohan Cabaye,23,0.06057133768088533
Nordin Amrabat,18,0.060431300586080455
Jordi Gómez García-Penche,38,0.060421156458509505
Mateo Kovačić,45,0.05982843239438177
Javier Eraso Goñi,17,0.05982735437179333
Víctor Sánchez Mata,54,0.058894038990054236
Sergio García De La Fuente,12,0.058219217759499675
Jaume Vicent Costa Jordá,35,0.05804700578423109
Víctor Camarasa Ferrando,29,0.05782262596963534
Craig Dawson,94,0.05774504123411409
Daniel Wass,42,0.057561975054497484
José Paulo Bezzera Maciel Júnior,767,0.057170932130350495
Francisco Javier Guerrero Martín,58,0.05710116058467587
Ashley Westwood,146,0.05692533024679624
Patrick van Aanholt,92,0.056869778126523544
Brais Méndez Portela,28,0.056824105044873834
Russell Martin,96,0.05652136288691217
Vurnon Anita,23,0.056399511279850496
Billy Jones,88,0.0563829463407757
Yann Gérard M''Vila,163,0.05638066756184607
Daniel Parejo Muñoz,141,0.05602390454710361
Celso Borges Mora,49,0.055617811585404194
Carlos Soler Barragán,60,0.0547003342339185
Lucas Digne,251,0.05446969928375579
André Filipe Tavares Gomes,169,0.054328985351914834
Paul Dummett,47,0.05414848194472409
Daniel Carvajal Ramos,61,0.05412751756903433
N''Golo Kanté,45,0.05408127237456664
Óscar de Marcos Arana,51,0.05403625593264808
Martín Montoya Torralbo,37,0.05396856295728589
Eneko Bóveda Altube,45,0.05395477404424342
Gary O''Neil,56,0.0539064426460304
Íñigo Martínez Berridi,47,0.05390487456463134
Jonathan Viera Ramos,68,0.053894183799392675
Ivan Rakitić,1257,0.05383053233820807
Éver Maximiliano David Banega,70,0.05371445998068386
Luciano Vietto,13,0.05368997152797254
Darren Fletcher,97,0.05358128278172953
Nélson Cabral Semedo,664,0.05351565557541272
Kyle Walker,58,0.05340601501675755
Fabián Ruiz Peña,77,0.053264621256494823
Pione Sisto Ifolo Emirmija,30,0.053098388481300336
Jonathan Howson,87,0.052595177363813264
Guilherme dos Santos Torres,49,0.052570458204382185
Simone Zaza,15,0.0525530899323063
Enric Saborit Teixidor,53,0.05198663132191957
Gabriel Appelt Pires,35,0.05183860712874602
Alberto Moreno Pérez,55,0.05177730022891107
Nabil El Zhar,27,0.05158596910223211
Antonio Manuel Luna Rodríguez,33,0.051017144826908604
Danny Rose,67,0.050811007623689515
Eric Dier,55,0.05042773612285627
Mario Gaspar Pérez Martínez,67,0.04975272184033482
Luis Carlos Correia Pinto,51,0.04947006205662861
Mikel San José Domínguez,61,0.04890338480675079
Lee Cattermole,97,0.04868073363156823
Jack Rodwell,51,0.04849291097401213
Claudio Ariel Yacob,103,0.04779170091015588
Jack Colback,41,0.047735574751957936
David Juncà Reñé,42,0.04746974431508485
Geoffrey Kondogbia,80,0.0473591956361568
Anaitz Arbilla Zabala,115,0.04731707708928006
Manuel Trigueros Muñoz,55,0.04722487792383723
Mile Jedinak,46,0.0471264072504425
Jack Grealish,11,0.0471096517790863
Sergio Enrich Ametller,20,0.046932071598218245
Leonardo Carrilho Baptistão,28,0.04678504071837759
Papiss Demba Cissé,11,0.04597237968747525
Saša Lukić,31,0.04572658426836043
Jordan Brian Henderson,38,0.044729942242856605
Jonathan Grant Evans,97,0.04471854198401308
Míchel Macedo Rocha Machado,67,0.04467958131401005
José Ignacio Fernández Iglesias,59,0.0442955870480961
