player_name,team_name,passes,pass_danger
Denis Suárez Fernández,Barcelona,169,0.08620469907450934
Samuel Castillejo Azuaga,Villarreal,37,0.08586096173003006
Alex Pritchard,West Bromwich Albion,10,0.0857912628338177
Chung-Yong Lee,Crystal Palace,36,0.08568674036954976
Carles Gil de Pareja Vicent,Aston Villa,31,0.08545272925087681
Marcelo Vieira da Silva Júnior,Real Madrid,134,0.08534460808403765
Philippe Coutinho Correia,Liverpool,106,0.08528058488754842
Julián Omar Ramos Suárez,Leganés,27,0.08443569917465497
Bamidele Alli,Tottenham Hotspur,71,0.08432727203586977
Iván López Álvarez,Levante UD,27,0.08431260429955181
Connor Wickham,Crystal Palace,51,0.08426850120750509
Sebastian Larsson,Sunderland,17,0.08421644751686393
Karim Benzema,Real Madrid,64,0.08404376100447666
Ryad Boudebouz,Real Betis,9,0.0839938486175964
Séamus Coleman,Everton,41,0.08380133786113492
Santiago Cazorla González,Arsenal,88,0.08328581021381999
Michael Krohn-Dehli,RC Deportivo La Coruña,59,0.08312707923111133
Steven Naismith,Norwich City,39,0.08295838410374785
Aleksandar Kolarov,Manchester City,117,0.08266794304109898
Charles Días Barbosa de Oliveira,Eibar,11,0.08258089982136269
Vadis Odjidja-Ofoe,Norwich City,7,0.08248411787441072
Cameron Jerome,Norwich City,32,0.08224198458920473
Aleksandar Mitrović,Newcastle United,19,0.0822279213460988
Juan Manuel Mata García,Manchester United,45,0.0814027645977537
Emmanuel Adebayor,Crystal Palace,70,0.08140138449265634
Harry Kane,Tottenham Hotspur,55,0.08130043894015249
Daryl Janmaat,Newcastle United,75,0.08124125608924926
Sabin Merino Zuloaga,Athletic Club,15,0.08100644791449021
José Manuel Jurado Marín,Espanyol,16,0.08074030265167828
Luis Fernando Muriel Fruto,Sevilla,19,0.08072893931225347
José Ángel Valdés Díaz,Eibar,61,0.08008914244657395
Héctor Bellerín Moruno,Arsenal,70,0.08002390855471805
Adam Johnson,Sunderland,39,0.0799565110860346
Adam David Lallana,Liverpool,75,0.07988392168802876
David Josué Jiménez Silva,Manchester City,94,0.0797972065710473
Christian Rivera Hernández,Eibar,12,0.07968337722417415
Íñigo Lekue Martínez,Athletic Club,82,0.07959677382122148
Loïc Rémy,Chelsea,5,0.0793829563370326
Franco Damián Vázquez,Sevilla,43,0.07886472131443874
Lewis Grabban,AFC Bournemouth,29,0.078311076801328
Oluwaseyi Babajide Ojo,Liverpool,27,0.07784607634588472
Ivo Daniel Ferreira Mendonca Pinto,Norwich City,60,0.07737055230785753
Rodrigo Moreno Machado,Valencia,61,0.07730125032473852
Joshua King,AFC Bournemouth,51,0.0765574066054421
Aleix Vidal Parreu,Barcelona,101,0.07648043335597568
José Manuel Arnáiz Díaz,Barcelona,3,0.07629325801712582
Christian Dannemann Eriksen,Tottenham Hotspur,130,0.07625469974047011
Chris Brunt,West Bromwich Albion,67,0.0758292870427197
Fabio Borini,Sunderland,66,0.0756847338291219
Bojan Krkíc Pérez,Stoke City,120,0.07563669460054302
Tom Cleverley,Everton,56,0.07559488409814315
Claudio Beauvue,Leganés,4,0.07540306778450359
Ander Iturraspe Derteano,Athletic Club,91,0.07540093703568938
Esteban Félix Granero Molina,Espanyol,17,0.07526638189591923
Jonathan Calleri,Las Palmas,30,0.07525249064365798
Aaron Lennon,Everton,60,0.07503746079773661
Tom Carroll,Tottenham Hotspur,32,0.0745634771052325
Dieumerci Mbokani Bezua,Norwich City,33,0.07422570403683992
Romelu Lukaku Menama,Everton,40,0.07420818583472603
Darko Brašanac,Leganés,14,0.07409507228019378
Raúl García Escudero,Athletic Club,58,0.07369709232566167
Bryan Oviedo,Everton,10,0.07367968380512796
Robert Kenedy Nunes do Nascimento,Chelsea,15,0.07317209618717818
Glenn Murray,AFC Bournemouth,10,0.07265029838715645
Shinji Okazaki,Leicester City,35,0.07257974610012503
Erik Lamela,Tottenham Hotspur,76,0.07175061589928597
James Grant Chester,West Bromwich Albion,23,0.0715268103987706
James Philip Milner,Liverpool,69,0.07152550105888751
Ashley Young,Manchester United,43,0.07151245525359383
Alan Hutton,Aston Villa,99,0.07150582572182622
Daley Blind,Manchester United,65,0.07131016007458918
Pedro Eliezer Rodríguez Ledesma,Chelsea,80,0.07099080965621278
Leighton Baines,Everton,140,0.07066756738752354
Jonathan Leko,West Bromwich Albion,18,0.07064512689579118
Andrés Iniesta Luján,Barcelona,799,0.0704834563910173
Francesc Fàbregas i Soler,Chelsea,110,0.07021996926682474
El-Hadji Baye Oumar Niasse,Everton,13,0.07015729839225732
Juan José Narváez Solarte,Real Betis,30,0.0697249369308656
José Salomón Rondón Giménez,West Bromwich Albion,71,0.06936159207072772
Matt Ritchie,AFC Bournemouth,132,0.06934586702137656
Bertrand Isidore Traoré,Chelsea,20,0.06893483419803724
Aly Cissokho,Aston Villa,97,0.0687448475694518
Christian Fuchs,Leicester City,211,0.06842167979605758
Jordon Mutch,Crystal Palace,63,0.06841289016153829
Mohamed Naser Elsayed Elneny,Arsenal,21,0.06825554475470257
Carlos Arturo Bacca Ahumada,Villarreal,17,0.06823993781251729
Christian Benteke Liolo,Liverpool,57,0.06812436043449827
Almen Abdi,Watford,43,0.06778553711539058
Pablo Fornals Malla,Villarreal,51,0.0676108237642051
Cristian Tello Herrera,Real Betis,32,0.06748420958817271
Ramires Santos do Nascimento,Chelsea,52,0.06730357088742721
Mame Biram Diouf,Stoke City,13,0.06689510249723847
Papa Kouly Diop,Eibar,41,0.06681221992435642
Marc Navarro Ceciliano,Espanyol,47,0.06675420146830163
Gareth Frank Bale,Real Madrid,43,0.06654075363883005
Patrick Bamford,Norwich City,24,0.0664163752550412
Tammy Bakumo-Abraham,Chelsea,5,0.0662782080379625
Marko Arnautović,Stoke City,143,0.06570394616609855
Emmanuel Okyere Boateng,Levante UD,15,0.06559552692642728
Pape N''Diaye Souaré,Crystal Palace,135,0.06535978795005543
Toni Kroos,Real Madrid,132,0.06535082241112801
Ander Capa Rodríguez,Eibar,17,0.0651924732251903
Sergio León Limones,Real Betis,18,0.06499545995624471
Bradley Shaun Smith,Liverpool,50,0.06483797159376005
Iago Aspas Juncal,Celta Vigo,43,0.06472380108712157
Ignacio Monreal Eraso,Arsenal,65,0.06469909149746411
Wilfried Guemiand Bony,Manchester City,29,0.0643663418959224
Rudy Gestede,Aston Villa,39,0.06407971164112823
Sergio Escudero Palomo,Sevilla,51,0.06398829264195686
Yohan Cabaye,Crystal Palace,146,0.06396990404836322
Denis Cheryshev,Villarreal,14,0.06386172469450899
Pedro Taunausú Domínguez Placeres,Las Palmas,78,0.063829869839041
Dame N''Doye,Sunderland,36,0.06366145612127835
Roberto Firmino Barbosa de Oliveira,Liverpool,77,0.06343437839483598
Mikel Arteta Amatriain,Arsenal,9,0.06323907360671116
Jordi Gómez García-Penche,Sunderland,38,0.06321089191673263
Charlie Adam,Stoke City,90,0.06317096341388644
José Leonardo Ulloa,Leicester City,34,0.06303346486419825
Steven Fletcher,Sunderland,15,0.06298971918422264
Cheick Doukouré,Levante UD,23,0.06285597482270491
Ben Watson,Watford,97,0.06258222220860918
Joseba Zaldúa Bengoetxea,Leganés,39,0.06251414362997346
Odion Jude Ighalo,Watford,45,0.062472659763432276
Alberto Moreno Pérez,Liverpool,119,0.062434528295166124
Guido Hernán Pizarro,Sevilla,18,0.06234225987040624
Sergi Canós Tenes,Liverpool,4,0.061882635676575565
Craig Dawson,West Bromwich Albion,135,0.06169225643502855
Matías Nahuel Leiva Esquivel,Real Betis,30,0.06149234475513275
Peter Crouch,Stoke City,10,0.06139765559819207
Joe Allen,Liverpool,40,0.06114004948015356
Dwight Gayle,Crystal Palace,10,0.06097174284034228
Nordin Amrabat,Leganés,18,0.060820635764996175
Joaquín Sánchez Rodríguez,Real Betis,81,0.0608012096202419
Marc Pugh,AFC Bournemouth,29,0.06076746391631595
César Azpilicueta Tanco,Chelsea,96,0.06071440255465194
DeAndre Yedlin,Sunderland,105,0.06070785288395128
Nathaniel Edwin Clyne,Liverpool,120,0.06051377726952147
Allan Romeo Nyom,Watford,62,0.0605082467786557
Sergio García De La Fuente,Espanyol,12,0.0603556134468782
Luka Modrić,Real Madrid,135,0.06033186839973577
Francisco Alcácer García,Barcelona,70,0.060093321666882527
Scott Sinclair,Aston Villa,37,0.06002089201195423
Víctor Sánchez Mata,Espanyol,54,0.059472891309354466
Riza Durmisi,Real Betis,52,0.0594006694379127
Francis Joseph Coquelin,Arsenal,72,0.05920602169206357
Beñat Etxebarria Urkiaga,Athletic Club,32,0.059007426572300646
Glen Johnson,Stoke City,149,0.059001328113715557
Javier Eraso Goñi,Leganés,17,0.058998470044689055
Marouane Fellaini-Bakkioui,Manchester United,47,0.05889314222546576
Miguel Ángel Guerrero Martín,Leganés,7,0.058787422649074904
