player_name,team_name,passes,pass_danger
Salomon Armand Magloire Kalou,Hertha Berlin,666,0.08096856277877269
Jhon Andrés Córdoba Copete,FSV Mainz 05,266,0.08095977992528376
Aaron Hunt,Hamburger SV,805,0.08093432708018003
Julian Draxler,Wolfsburg,726,0.08087150310089455
Pablo Ezequiel De Blasis,FSV Mainz 05,622,0.0808370937595397
Mario Vrančić,Darmstadt 98,335,0.08082272551341818
Steven Zuber,Hoffenheim,220,0.08058308574066005
Luc Castaignos,Eintracht Frankfurt,208,0.08035901014809063
Jean-Eric Maxim Choupo-Moting,Schalke 04,732,0.08034944549218238
Ismail Azzaoui,Wolfsburg,9,0.08000108696048164
André Schürrle,Wolfsburg,732,0.07979642236700298
Eduardo Jesús Vargas Rojas,Hoffenheim,557,0.07935305833579911
Claudio Miguel Pizarro Bossio,Werder Bremen,593,0.07915213913529656
Klaas-Jan Huntelaar,Schalke 04,520,0.07895110198761976
Hugo Miguel Pereira de Almeida,Hannover 96,210,0.07869955531050224
Moritz Leitner,Borussia Dortmund,244,0.07861646888108548
Artoms Rudņevs,Hamburger SV,163,0.07853087044686609
Max Meyer,Schalke 04,1023,0.07848775892423475
Josip Drmic,Borussia Mönchengladbach,142,0.07810200242930741
Shinji Kagawa,Borussia Dortmund,1436,0.07781868285080468
Simon Zoller,FC Köln,276,0.07779636389564007
Kenan Karaman,Hannover 96,505,0.07770726263603299
Sandro Wagner,Darmstadt 98,914,0.07668578987689602
Max Kruse,Wolfsburg,1119,0.07665236918274083
Genki Haraguchi,Hertha Berlin,778,0.07656387396658138
Daniel Didavi,VfB Stuttgart,1027,0.07653625945171218
André Hahn,Borussia Mönchengladbach,267,0.07651951163986044
Elias Kachunga,Ingolstadt,75,0.07623699290665199
Edgar Prib,Hannover 96,630,0.07604759440414174
Phillipp Klement,FSV Mainz 05,24,0.07587891337754404
Philipp Hosiner,FC Köln,154,0.07559400824758972
Szabolcs Huszti,Eintracht Frankfurt,678,0.07541169724152502
Max Christiansen,Ingolstadt,457,0.07531232633675884
Alfredo Morales,Ingolstadt,526,0.07508235110737806
Marcel Hartel,FC Köln,48,0.07502286694048611
Nicolai Müller,Hamburger SV,686,0.07461383676780546
Anthony Ujah,Werder Bremen,593,0.07422300433744965
Lars Edi Stindl,Borussia Mönchengladbach,1413,0.07417362832509006
Tim Matavž,Augsburg,71,0.07415903128121441
Marco Sailer,Darmstadt 98,66,0.07412065393082552
Franco Matías Di Santo,Schalke 04,299,0.07397714972667845
Ivo Iličević,Hamburger SV,839,0.07376860125769323
Maurice Multhaup,Ingolstadt,18,0.07349740674666277
Robbie Kruse,VfB Stuttgart,27,0.07340424482292474
Tarik Elyounoussi,Hoffenheim,160,0.07315350491934898
Ádám Szalai,Hoffenheim,31,0.0728801373148909
Caiuby Francisco da Silva,Augsburg,771,0.07283335171075674
Julian Schieber,Hertha Berlin,31,0.07279604388649788
Dominik Stroh-Engel,Darmstadt 98,119,0.07273076440230326
Kevin Kuranyi,Hoffenheim,183,0.07248054047517181
Kazuki Nagasawa,FC Köln,16,0.07247684010685325
Jan Rosenthal,Darmstadt 98,375,0.07239345999649426
Martin Harnik,VfB Stuttgart,335,0.07198253574693997
Roberto Hilbert,Bayer Leverkusen,467,0.07177912807997508
