feature,coefficient
end_x,0.7241688315992809
x,0.6629235742749118
height_high,-0.19557322890153486
forward,0.12526304480439265
height_low,-0.11740348177807024
dist,0.1100071599523008
end_y,-0.07984042210992753
y,0.028114310179398434
angle,-0.021755365368306516
body_part_foot,0.0
